Region,Type,Composition,X,Y,Z,Color
Belt,Asteroid,Ni,-1266908.47492094,1007878.6455188,-5787.85618235354,#FF75C9F1
Belt,Asteroid,Fe,-1300411.63541515,1017060.4103899,4043.86974262323,#FF75C9F1
Belt,Asteroid,U,-1296386.32928654,1024444.03351066,-14516.5053784923,#FF75C9F1
Belt,Asteroid,Fe Mg,-1257714.91533229,1014655.49769331,-9208.56983184964,#FF75C9F1
C1,Asteroid,Cu,318769.100185455,1603707.59459998,14174.1116177869,#FF75C9F1
C1,Asteroid,Fe,311785.751994,1602676.360169,13214.133976916,#FF75C9F1
C1,Asteroid,Fe,318769.10980779,1603707.61803836,14174.1678070669,#FF75C9F1
C1,Asteroid,Pt,311785.751994,1602676.360169,13214.133976916,#FF75C9F1
C1,Asteroid,Cu,445885.577537081,1570826.93944928,11603.383864758,#FF75C9F1
C1,Asteroid,Ice,445997.669239736,1570575.73624093,11629.198273573,#FF75C9F1
C1,Asteroid,Ice,739930.135536407,1599287.83453067,-6245.67808786674,#FF75C9F1
C1,Asteroid,Ni Cu,589393.117527661,1754672.48651312,1885.03758226987,#FF75C9F1
C1,Asteroid,Pb Mg,604657.67520424,1742308.04147108,242.49341504517,#FF75C9F1
C1,Asteroid,Fe Mg,586994.264067777,1735159.56912517,2468.64730815086,#FF75C9F1
C1,Asteroid,W Ice,584231.347880358,1741406.23933686,-3433.461123263,#FF75C9F1
C1,Asteroid,U,568443.762554178,1721204.13024368,4383.84526978782,#FF75C9F1
C1,Asteroid,Diamond,606909.91919285,1736174.23972962,3429.56450369855,#FF75C9F1
C1,Asteroid,Diamond,606739.98,1735986.05,3626.07,#FF75C9F1
C1,Asteroid,Fe,624963.115768034,1743378.32350255,1131.79505519681,#FF75C9F1
C1,Asteroid,Au Pt,608798.731243214,1723056.56575277,-71.3458062882128,#FF75C9F1
C1,Asteroid,Si Fe,600140.563014877,1735862.81624757,3226.21970815223,#FF75C9F1
C1,Asteroid,W,589606.392909303,1715413.33309368,-6724.69035439752,#FF75C9F1
C1,Asteroid,Ti Cu,584693.494375504,1702481.50911193,-10007.5708188201,#FF75C9F1
C1,Asteroid,Si Ni,730433.048828487,1592411.19235358,15030.9768757955,#FF75C9F1
C1,Asteroid,Si,729500.69542275,1592687.22358204,6109.49436454149,#FF75C9F1
C1,Asteroid,Co,721708.270137273,1591655.4705159,-4295.85678163713,#FF75C9F1
C1,Asteroid,Ni U,719454.783033751,1598180.26984503,-7972.56839399582,#FF75C9F1
C1,Asteroid,Ni U,713162.093321331,1597704.20259365,-8021.76210566407,#FF75C9F1
C1,Asteroid,Diamond,728300.630865591,1598490.76528006,11928.3846847831,#FF75C9F1
C1,Asteroid,Diamond,728358.829799663,1598359.61610286,11753.7583537959,#FF75C9F1
C1,Asteroid,Cu Pb,741322.652526151,1599477.03475815,2866.54954735563,#FF75C9F1
C1,Asteroid,Pb,743166.822992939,1593090.30422212,6515.01913861559,#FF75C9F1
C1,Asteroid,Ni Fe,731976.277065586,1579229.67817533,2644.71977803485,#FF75C9F1
C1,Asteroid,Si,737209.94930228,1580202.4387092,-6105.17278264089,#FF75C9F1
C1,Asteroid,Ni Cu,738703.986079391,1579467.23158675,3110.36746107415,#FF75C9F1
C1,Asteroid,Pb Co,742080.497941863,1593023.51513233,-10060.5882050113,#FF75C9F1
C1,Asteroid,W,738894.015027356,1599209.15674969,-15787.0312033312,#FF75C9F1
C1,Asteroid,Ice,639856.490167452,1705734.29414691,2191.40544120414,#FF75C9F1
C1,Asteroid,Ice,670824.729700891,1679722.4429177,4311.32582308544,#FF75C9F1
C1,Asteroid,Pb,741924.615644344,1599464.14657316,12159.7864713675,#FF75C9F1
C1,Asteroid,Au,743289.567061131,1589468.18176386,-15822.9693479786,#FF75C9F1
C1,Asteroid,Fe,760084.513328152,1600240.24942326,-5486.11442204949,#FF75C9F1
C1,Asteroid,Fe Ni,763099.745045754,1587628.49054832,840.421022329359,#FF75C9F1
